posicion, fecha, compania, lugar, detalles
Data Scientist, Octubre 2021 - Present, Grupo San Cristóbal, "Rosario, Argentina", Data analysis and development of statistical models.
Data Scientist, Octubre 2021 - Present, Grupo San Cristóbal, "Rosario, Argentina", Improvements in automated decision-making processes. 
Developer, Jun 2021 - Aug 2021, \href{https://tcapretto.netlify.app/post/2021-06-28-first-weeks-of-gsoc/}{NumFOCUS - Google Summer of Code 2021}, Remote, Implemented a new method to obtain prior distributions.
Developer, Jun 2021 - Aug 2021, \href{https://tcapretto.netlify.app/post/2021-06-28-first-weeks-of-gsoc/}{NumFOCUS - Google Summer of Code 2021}, Remote, Added new families of generalized linear models.
Developer, Jun 2021 - Aug 2021, \href{https://tcapretto.netlify.app/post/2021-06-28-first-weeks-of-gsoc/}{NumFOCUS - Google Summer of Code 2021}, Remote, Several internal changes to improve the performance and readability of the code.
Freelance, Aug 2020 - Dec 2020, Independent, Remote, Development of Shiny apps to conduct data analysis and automate tasks.
Freelance, Aug 2020 - Dec 2020, Independent, Remote, Statistical modeling and data analysis.
Consultant, Nov 2018 - Jan 2019, AlixPartners,"Buenos Aires, Argentina", Time series forecasting and task automation.
Statistical assistant, May 2018 - Oct 2018, Instituto Nacional de Estadística y Censos, "Buenos Aires, Argentina", I worked on the estimation in the presence of non-response and conducted simulation studies to evaluate imputation methods.
Tutor online, Aug 2018 - May 2019, Chegg Tutors, Remote, Tutored Statistics and \proglang{R} and programming in English to undergraduate students.
Tutor online, Nov 2015 - Nov 2018, Latinhire, Remote, Tutored Statistics to high-school and undergraduate students.
