posicion,fecha,compania,lugar,detalles
Cientítico de datos, Octubre 2021 - Actualidad, Grupo San Cristóbal, "Rosario, Argentina", Análisis de datos e implementación de modelos estádisticos.
Cientítico de datos, Octubre 2021 - Actualidad, Grupo San Cristóbal, "Rosario, Argentina", Implementación de mejoras en procesos automatizados de toma de decisiones.
Desarrollador, Junio 2021 - Agosto 2021, \href{https://tcapretto.netlify.app/post/2021-06-28-first-weeks-of-gsoc/}{NumFOCUS - Google Summer of Code 2021}, Remoto, Implementación de un nuevo método para proponer distribuciones a priori.
Desarrollador, Junio 2021 - Agosto 2021, \href{https://tcapretto.netlify.app/post/2021-06-28-first-weeks-of-gsoc/}{NumFOCUS - Google Summer of Code 2021}, Remoto, Implementación de nuevas familias de modelos lineales generalizados.
Desarrollador, Junio 2021 - Agosto 2021, \href{https://tcapretto.netlify.app/post/2021-06-28-first-weeks-of-gsoc/}{NumFOCUS - Google Summer of Code 2021}, Remoto, Varias refactorizaciones internas para mejorar desempeño y legibilidad del código.
Freelance, Agosto 2020 - Actualidad, Independiente, Remoto, Construcción de aplicaciones en Shiny para analizar datos y automatizar tareas.
Freelance, Agosto 2020 - Actualidad, Independiente, Remoto, Análisis de datos y desarrollo de modelos probabilísticos a medida.
Consultant, Nov 2018 - Ene 2019, AlixPartners,"Buenos Aires, Argentina", Prediccion de series temporales y automatización de tareas.
Asistente estadístico, May 2018 - Oct 2018, Instituto Nacional de Estadística y Censos, "Buenos Aires, Argentina", Trabaje en estimacion en presencia de no respuesta y realice estudios por simulación para evaluar metodos de imputación.
Tutor online, Ago 2018 - May 2019, Chegg Tutors, Remoto, "Clases online de Estadística, \proglang{R} y \proglang{SAS} en inglés."
Tutor online, Nov 2015 - Nov 2018, Latinhire, Remoto, Clases online de Estadística en inglés y español.
